year,Adjusted net national income (current US$),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (current US$)",Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),"Employment in agriculture, female (% of female employment)","Employment in agriculture, male (% of male employment)",Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)",Household final consumption expenditure (current US$),Household final consumption expenditure per capita (constant 2015 US$),Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Livestock production index (2014-2016 = 100),Prevalence of undernourishment (% of population),Rural population (% of total population)
2010,114093205737.914,70.9917799800261,92410.0,17.0011812592919,6.15194712083547,19598203511.7426,4262.6,89.65,55.6120024273705,44.0470437180484,208.024322968907,85.25,780.0,3030.0,85436063406.0155,724.016350513495,21.2,26.9,41.5,3.9,8.9,12.5,16.0,60.74,18.2,72.2745627411304
2011,126960518030.501,70.1236844126911,91280.0,16.8099867573503,4.45636899387489,21618900745.3326,4367.1,93.78,54.9058896995024,43.2592077169102,249.746915935394,88.81,870.0,3250.0,95530241860.9667,764.044000559947,,,,,,,,66.21,18.0,71.8899837287573
2012,132381918586.563,70.0622263194284,91200.0,16.1775631732753,3.01427141278985,21566430410.319,4396.5,94.27,54.148549106632,42.4456669558527,254.30935709739,90.18,950.0,3680.0,98299205785.8159,787.89165913446,,,,,,,,71.61,17.3,71.5212027105424
2013,148630473444.019,69.9700391795345,91080.0,15.4932779975908,2.4648875359993,23239755468.7663,4492.1,96.58,53.4719417454072,41.6527919458033,253.280642653537,94.25,1010.0,3940.0,109270901486.57,820.553735461623,,,,,,,,83.42,16.7,71.1592963893237
2014,168853214206.68,69.900898824614,90990.0,15.3516208986344,4.37187005255942,26540897205.5834,4558.8,98.76,56.9949193825216,39.1654510497522,278.132224964281,97.97,1080.0,4190.0,125468200069.017,845.680948186388,,,,,,,,94.13,15.6,70.8055557678987
2015,190332221808.999,70.3867250518553,91622.4,14.7829964369364,3.32838106268419,28848516252.0393,4588.2,100.69,60.122727553489,36.5649855911481,297.810941171621,100.7,1200.0,4440.0,141358914056.472,886.912376471498,,,,,,,,101.1,15.2,70.4604900522108
2016,254207227699.906,70.6323269570562,91942.1,13.4647923176039,2.78626795141825,35711930211.014,4624.0,100.55,63.0872996124255,33.9705500997019,288.288357639838,101.33,1400.0,4790.0,177340893036.799,905.423294896181,21.4,26.8,41.4,3.7,8.6,12.4,16.1,104.77,14.4,70.1246084482035
2017,277679601303.089,70.5794729968503,91873.3,12.9572760433733,3.19600722706213,38059723938.1029,4684.5,108.47,59.5151817550646,31.8261668023854,302.542720033696,110.77,1640.0,5050.0,196542010320.222,954.032882081033,,,,,,,,122.5,13.4,69.7984201618201
2018,305777695036.025,70.694476453868,92023.0,12.4800771856196,3.5445399011226,40106319550.566,4778.5,108.0,61.5288557574441,30.6833168484786,318.46686309072,110.54,2020.0,5710.0,217207965277.285,1035.30373959093,,,,,,,,124.46,12.0,69.4824343990041
2019,360627233626.55,72.1902127986479,93970.0,11.9753231358984,3.26057768352028,42061125594.3548,4855.4,109.89,63.2701670899894,29.4744619775738,320.445462644775,111.94,2220.0,6290.0,234894700483.893,1076.42245250605,,,,,,,,123.94,10.9,69.1771603656988
2020,383459686377.669,72.4437274333564,94300.0,11.9996868602485,3.42094793156549,44876362005.1668,4885.9,111.84,66.5239843670587,29.9046264978568,325.386565272497,115.91,2320.0,6920.0,250383687973.973,1099.4473259373,,,,,,,,136.86,10.8,68.8831072678476
2021,430454772495.358,72.3515402934624,94180.0,11.6328584271282,3.17457182173638,48424291473.762,4964.4,116.46,69.318337483757,29.2208702210884,395.72014579444,121.59,2600.0,7830.0,286292630441.326,1177.93400717848,,,,,,,,146.31,10.3,68.6007843113939
2022,,72.3706433287272,94270.0,11.2176010351595,3.05395055358133,51615737117.6808,5089.7,119.1,70.8984530500263,28.0610624217642,388.941232933807,125.2,2850.0,8790.0,317843355215.864,1253.10179441914,21.8,25.5,40.1,3.7,8.8,12.8,16.5,153.13,10.6,68.326265273766
2023,,72.311124788429,93990.0,11.0036900209598,3.3714392206772,48131827349.4816,5320.9,,74.969345794146,28.9598034354798,391.888102126796,,2880.0,9510.0,299958948132.06,1262.45721547606,,,,,,,,,10.4,67.8421534963166
2024,,,,11.1648014276903,3.30390524152024,50254940777.9345,5408.0,,74.9488907948528,29.1055735300191,,,2820.0,10060.0,315690120945.467,1321.93978486053,,,,,,,,,,67.3216803676693
